R2,8.89,-3.43,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,-14.02,8.64,90.00,10K,CPF0201D7K68C1_0201
R2_USB,0.51,9.40,180.00,5K1,CPF0201D7K68C1_0201
R3,6.65,9.65,90.00,0,CPF0201D7K68C1_0201
R4,8.88,-3.94,270.00,0,CPF0201D7K68C1_0201
R5,-13.45,-12.31,90.00,10K,CPF0201D7K68C1_0201
R7,8.76,-12.31,270.00,10K,CPF0201D7K68C1_0201
R8,-9.28,-14.57,180.00,10K,CPF0201D7K68C1_0201
R9,16.46,14.48,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,4.98,-11.63,90.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-10.67,-12.19,90.00,2.2,CPF0201D7K68C1_0201
SJ1,-0.64,-11.18,180.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,10.29,-13.75,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,-0.76,-13.82,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-12.07,-13.75,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,12.73,16.54,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,5.20,6.59,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,15.25,-5.03,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-14.22,14.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-11.78,15.03,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,2.08,8.11,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,11.53,-5.87,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,2.01,3.67,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,1.75,5.80,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWIO,4.95,2.85,270.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,7.08,4.07,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-17.83,15.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT_GND,-17.86,11.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,2.03,1.30,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,13.87,7.34,270.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-5.28,14.91,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,15.16,-0.84,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,20.91,7.37,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
